start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733277494.088277,1733277546.4301577,10.0.0.10,10.0.0.6,50026,42398720
1733277494.119794,1733277545.2487302,10.0.0.10,10.0.0.8,40682,41373696
1733277494.0585678,1733277544.8189332,10.0.0.1,10.0.0.3,46280,16939008
1733277493.9298668,1733277544.874757,10.0.0.1,10.0.0.6,33294,22418432
1733277493.8423705,1733277544.7983377,10.0.0.1,10.0.0.9,38630,16444416
1733277494.173958,1733277545.7732105,10.0.0.2,10.0.0.10,42664,35183616
1733277494.0471642,1733277545.2991977,10.0.0.2,10.0.0.1,44830,16644096
1733277494.0881076,1733277545.42673,10.0.0.2,10.0.0.7,42220,4952064
1733277494.018721,1733277545.0949633,10.0.0.4,10.0.0.10,53934,21676032
1733277493.7162871,1733277545.07171,10.0.0.4,10.0.0.7,50520,66012160
1733277494.088166,1733277546.6404386,10.0.0.5,10.0.0.4,56310,38773760
1733277494.159664,1733277545.317159,10.0.0.5,10.0.0.6,35356,13500416
1733277494.1923711,1733277545.0519269,10.0.0.5,10.0.0.7,33234,4739072
1733277493.9411736,1733277545.7608085,10.0.0.6,10.0.0.1,39234,8607744
1733277493.9417226,1733277545.7585702,10.0.0.6,10.0.0.1,39248,8534016
1733277494.1601934,1733277546.145259,10.0.0.6,10.0.0.5,56010,37850112
1733277494.21775,1733277545.6138716,10.0.0.6,10.0.0.7,49446,3480576
1733277493.8327832,1733277545.1734462,10.0.0.7,10.0.0.1,36560,17570816
1733277493.8349023,1733277545.1560795,10.0.0.7,10.0.0.1,36566,17495040
1733277493.9505594,1733277545.0641973,10.0.0.7,10.0.0.2,47094,3907584
1733277493.9531987,1733277544.821363,10.0.0.8,10.0.0.1,44648,6820864
1733277493.7181263,1733277544.7541938,10.0.0.8,10.0.0.2,55436,80094208
1733277494.1663582,1733277545.376213,10.0.0.9,10.0.0.2,47268,3436544
1733277494.032641,1733277545.3354309,10.0.0.9,10.0.0.7,39212,3666944
1733277494.035423,1733277545.3627877,10.0.0.9,10.0.0.7,39214,3673088
